GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; One race-- - White,Total; Margin of Error; One race-- - White,Median income (dollars); Estimate; One race-- - White,Median income (dollars); Margin of Error; One race-- - White,Total; Estimate; One race-- - Black or African American,Total; Margin of Error; One race-- - Black or African American,Median income (dollars); Estimate; One race-- - Black or African American,Median income (dollars); Margin of Error; One race-- - Black or African American,Total; Estimate; One race-- - American Indian and Alaska Native,Total; Margin of Error; One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; One race-- - American Indian and Alaska Native,Total; Estimate; One race-- - Asian,Total; Margin of Error; One race-- - Asian,Median income (dollars); Estimate; One race-- - Asian,Median income (dollars); Margin of Error; One race-- - Asian,Total; Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; One race-- - Some other race,Total; Margin of Error; One race-- - Some other race,Median income (dollars); Estimate; One race-- - Some other race,Median income (dollars); Margin of Error; One race-- - Some other race,Total; Estimate; Two or more races,Total; Margin of Error; Two or more races,Median income (dollars); Estimate; Two or more races,Median income (dollars); Margin of Error; Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Married-couple families,Total; Margin of Error; FAMILIES - Married-couple families,Median income (dollars); Estimate; FAMILIES - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Married-couple families,"Total; Estimate; FAMILIES - Female householder, no husband present","Total; Margin of Error; FAMILIES - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Female householder, no husband present","Total; Estimate; FAMILIES - Male householder, no wife present","Total; Margin of Error; FAMILIES - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
0100000US,,United States,114567419,163249,50046,64,78.2,0.1,52480,83,12.0,0.1,33578,217,0.7,0.1,35062,685,4.0,0.1,67022,416,0.1,0.1,52776,2767,3.3,0.1,38230,412,1.7,0.1,43597,660,11.6,0.1,40165,147,70.6,0.1,54168,109,4.3,0.1,24143,268,34.1,0.1,54024,156,39.9,0.1,60683,125,21.7,0.1,34381,97,76089045,141318,60609,93,44.7,0.1,57085,182,55.3,0.1,62611,152,73.2,0.1,72596,149,19.7,0.1,30085,121,7.1,0.1,41474,242,38478374,96945,30440,82,53.7,0.1,26261,109,45.5,0.1,23568,114,8.2,0.1,50292,490,46.3,0.1,35484,125,36.1,0.1,31135,101,10.2,0.1,55200,488,28.8,(X),(X),(X),29.5,(X),(X),(X),25.9,(X),(X),(X)
0400000US37,37,North Carolina,3670859,14413,43326,370,72.9,0.2,48493,515,21.0,0.2,30952,551,1.0,0.1,30558,2378,1.7,0.1,55558,8745,N,N,75598,27532,2.0,0.1,30383,1958,1.3,0.1,36468,2629,5.4,0.1,32262,1096,69.9,0.2,49383,512,4.5,0.2,22511,1257,35.2,0.3,47257,667,39.0,0.3,50983,594,21.3,0.2,31694,444,2441916,18415,52920,541,44.0,0.5,49906,814,56.0,0.5,55223,756,72.5,0.5,65425,548,20.9,0.4,25604,741,6.5,0.3,33928,1711,1228943,15042,27104,369,55.4,0.6,23839,501,48.0,0.6,22158,438,7.5,0.3,41112,2427,44.6,0.6,31700,482,35.2,0.7,28925,1268,9.4,0.4,46622,2168,28.6,(X),(X),(X),29.1,(X),(X),(X),26.2,(X),(X),(X)
0500000US37001,37001,"Alamance County, North Carolina",59811,1934,41058,2232,71.4,1.7,46583,2838,21.4,1.3,27354,6083,N,N,-,**,N,N,N,N,N,N,-,**,N,N,26047,2414,N,N,33905,13699,6.3,0.9,29139,9199,70.5,1.6,46601,2953,5.4,1.5,15886,8193,31.9,2.2,40631,5354,39.0,2.0,51329,4634,23.6,1.7,31843,2962,40001,2302,48599,3309,45.5,3.5,42991,5300,54.5,3.5,53571,5235,69.9,3.4,60706,3424,23.4,3.5,26312,4025,6.7,2.4,37673,11609,19810,2145,25120,4374,61.1,4.7,20829,3830,55.5,5.4,19554,3959,5.7,1.7,43889,29724,38.9,4.7,31136,7743,32.0,4.3,29976,8997,6.9,2.8,34023,26234,27.2,(X),(X),(X),28.6,(X),(X),(X),23.6,(X),(X),(X)
0500000US37019,37019,"Brunswick County, North Carolina",46573,2802,43884,2044,86.5,1.2,47042,3679,10.9,1.2,18691,5471,N,N,31563,27562,N,N,-,**,N,N,-,**,N,N,-,**,N,N,N,N,N,N,30934,21816,83.7,1.6,47915,3279,2.5,1.6,9120,6453,25.2,2.4,53302,8363,42.1,2.3,45004,4056,30.3,1.9,41543,4224,32110,2209,52719,5513,N,N,37851,9969,N,N,55566,4039,N,N,59618,5145,N,N,19176,3480,N,N,31076,10514,14463,2038,24371,4678,55.6,6.1,21021,3833,47.5,5.8,19914,3954,8.0,4.4,43869,17521,44.4,6.1,35400,7144,36.0,5.9,27729,13525,8.4,3.9,47338,13247,33.8,(X),(X),(X),34.4,(X),(X),(X),30.5,(X),(X),(X)
0500000US37021,37021,"Buncombe County, North Carolina",101164,2459,43241,3310,90.4,1.2,45155,2130,6.2,0.9,19132,7502,N,N,N,N,N,N,53165,1866,N,N,76840,72762,N,N,N,N,N,N,41831,17646,3.5,0.6,31777,13486,87.9,1.2,45458,1489,4.0,1.0,17375,4048,32.3,1.4,48762,4543,40.7,1.7,46885,2765,23.1,1.3,35933,4525,61253,3248,49695,2670,40.2,3.2,46474,6031,59.8,3.2,50984,2336,76.3,2.9,57652,2974,17.8,2.5,26620,3146,6.0,1.8,31288,7015,39911,2245,29387,2672,57.6,3.5,28131,3173,48.9,3.7,24153,3508,8.7,2.7,56430,10253,42.4,3.5,31254,3706,32.3,3.1,27071,5727,10.0,2.4,50629,11646,23.0,(X),(X),(X),22.8,(X),(X),(X),21.2,(X),(X),(X)
0500000US37023,37023,"Burke County, North Carolina",36067,1344,38131,4709,88.9,2.0,37037,5408,N,N,43075,5466,N,N,N,N,N,N,82997,62194,N,N,-,**,N,N,N,N,N,N,28056,27222,N,N,22056,5835,87.0,1.7,37752,5749,5.5,2.1,22131,12941,30.6,2.1,44065,3261,38.3,2.0,47317,5573,25.6,2.5,26800,3425,25677,1424,46975,2923,N,N,46837,4503,N,N,47158,5689,N,N,55335,3512,N,N,21129,2939,N,N,34797,29660,10390,1355,21864,3378,52.5,6.5,21040,2649,41.3,6.9,20215,3382,11.2,5.4,30462,17922,47.5,6.5,24940,5864,37.6,6.0,19338,6584,9.9,4.5,35059,30217,23.4,(X),(X),(X),24.3,(X),(X),(X),19.3,(X),(X),(X)
0500000US37025,37025,"Cabarrus County, North Carolina",63883,2100,48666,1942,82.4,1.7,49685,2179,13.5,1.6,42461,9715,N,N,N,N,N,N,50090,30457,N,N,-,**,N,N,38764,10062,N,N,N,N,N,N,31236,7927,77.6,1.9,51072,3092,1.9,1.0,32412,7479,40.1,2.2,51092,4796,38.8,1.6,51499,5843,19.2,1.2,36180,6071,44568,2314,59631,5209,46.4,3.1,58038,7206,53.6,3.1,60825,7119,79.6,3.1,70068,5238,15.0,2.5,31515,3404,5.4,1.9,45784,17077,19315,1953,32534,4816,47.1,4.6,29421,5113,38.9,5.0,28223,5181,8.2,3.4,32697,14792,52.9,4.6,36785,8058,46.1,5.1,35859,8283,6.8,3.1,46653,22175,30.6,(X),(X),(X),28.1,(X),(X),(X),35.7,(X),(X),(X)
0500000US37027,37027,"Caldwell County, North Carolina",31044,1491,36050,3790,92.7,3.1,38063,3943,N,N,26305,4998,N,N,-,**,N,N,-,**,N,N,-,**,N,N,22793,10779,N,N,-,**,N,N,22456,8505,92.3,2.9,38243,3950,2.1,1.5,12403,23428,30.5,3.3,34978,5204,43.8,3.0,49334,7930,23.7,2.3,21677,3556,21423,1799,46497,6074,N,N,38056,5009,N,N,50274,3864,N,N,51928,7995,N,N,19351,3935,N,N,28279,8853,9621,1587,16394,3653,56.9,7.3,14314,1162,52.2,8.2,13824,1147,4.7,3.5,57876,39082,43.1,7.3,23732,2163,38.7,7.6,24363,2499,4.4,4.4,16368,3635,30.7,(X),(X),(X),25.6,(X),(X),(X),42.0,(X),(X),(X)
0500000US37031,37031,"Carteret County, North Carolina",28356,1819,40614,4630,90.7,2.5,42524,4876,N,N,N,N,N,N,-,**,N,N,-,**,N,N,-,**,N,N,N,N,N,N,N,N,N,N,24076,17004,89.4,2.9,43406,4729,2.6,1.6,35362,6227,26.5,2.9,36079,4191,41.6,3.1,50484,6889,29.3,2.8,34788,6507,17142,1603,54094,8536,N,N,44342,10966,N,N,60939,8178,N,N,64813,7919,N,N,26663,8513,N,N,36234,24568,11214,1440,23575,3362,52.1,7.4,21566,6584,50.1,7.3,21499,6814,2.0,1.4,23235,43287,47.9,7.4,24320,4294,41.5,7.1,22359,3204,6.4,3.7,83011,93231,26.1,(X),(X),(X),30.5,(X),(X),(X),19.2,(X),(X),(X)
0500000US37035,37035,"Catawba County, North Carolina",59019,1697,41244,2393,85.5,2.2,44490,2981,9.6,1.5,25517,6888,N,N,N,N,N,N,37407,6660,N,N,-,**,N,N,33054,16901,N,N,33750,17542,N,N,34361,8979,82.2,2.1,44672,2946,3.1,1.2,23885,7892,33.4,2.5,46245,2885,41.5,2.7,46384,4589,22.1,1.9,27829,2691,38356,2248,48855,2913,42.1,3.4,47662,4508,57.9,3.4,50171,4532,74.1,3.5,58163,3775,18.5,3.1,24484,4512,7.3,2.5,32354,6933,20663,1863,27325,3284,50.2,5.4,22927,4069,43.6,5.2,20006,5027,6.6,3.2,37217,47108,49.8,5.4,32036,8688,40.5,5.6,27359,7349,9.3,3.5,45320,11851,24.6,(X),(X),(X),24.7,(X),(X),(X),24.2,(X),(X),(X)
0500000US37045,37045,"Cleveland County, North Carolina",37208,1448,38282,3034,78.3,1.9,43098,3924,20.0,1.8,19058,7212,N,N,45074,27550,N,N,33674,32606,N,N,-,**,N,N,35675,2066,N,N,26570,7140,N,N,21760,13074,76.6,1.8,43421,3934,4.9,1.4,16531,9630,26.3,2.1,40546,7040,42.5,2.0,48458,5707,26.3,1.8,25670,5520,25930,1465,47557,3527,N,N,41554,7868,N,N,51077,2947,N,N,53166,3226,N,N,20863,12436,N,N,48226,4295,11278,1394,17382,4176,58.2,5.7,15136,5126,53.1,6.5,13810,4780,5.1,3.7,24535,19864,41.8,5.7,26954,4918,35.6,5.6,25851,6670,6.2,3.7,55118,54182,32.8,(X),(X),(X),32.8,(X),(X),(X),30.0,(X),(X),(X)
0500000US37049,37049,"Craven County, North Carolina",40117,1443,40218,4060,73.9,2.0,46455,2267,20.4,1.8,22863,5408,N,N,N,N,N,N,N,N,N,N,-,**,N,N,9071,3483,N,N,45666,30489,N,N,29024,11567,71.2,1.9,46862,2771,6.3,1.8,36997,12405,33.1,2.8,38291,6779,35.2,2.7,48448,6263,25.5,2.1,34284,5445,27720,1727,46848,3908,N,N,42429,7699,N,N,51314,6167,N,N,55959,5841,N,N,25865,5845,N,N,50100,35457,12397,1589,22650,5692,58.7,6.1,18593,4597,55.0,6.2,17409,5565,3.8,2.2,57335,19437,41.3,6.1,31602,9055,32.8,6.5,30828,7977,8.4,4.6,45844,30462,28.6,(X),(X),(X),30.9,(X),(X),(X),22.0,(X),(X),(X)
0500000US37051,37051,"Cumberland County, North Carolina",118246,3829,43205,1762,54.9,1.6,48382,1956,35.7,1.3,40428,3158,N,N,23564,15136,2.6,0.5,32225,19720,N,N,55299,47960,N,N,33944,13789,3.4,0.9,26512,14693,7.1,1.0,35561,5614,50.7,1.6,49104,1757,6.3,1.5,32018,4167,40.3,1.5,42728,2623,35.6,1.5,51679,3346,17.8,1.0,32840,4425,77932,3290,49050,2011,48.5,2.9,41347,1781,51.5,2.9,56641,5077,62.7,2.4,64441,4073,30.1,2.3,26317,2242,7.2,1.6,45443,7140,40314,3110,31754,3160,52.6,4.0,25235,2747,47.3,4.1,23345,3769,5.3,1.8,45578,26347,47.4,4.0,41623,3853,35.1,3.8,39051,7776,12.3,3.1,60142,25694,29.1,(X),(X),(X),30.8,(X),(X),(X),23.3,(X),(X),(X)
0500000US37057,37057,"Davidson County, North Carolina",65317,1658,39660,2493,87.4,1.5,41582,2742,9.2,1.3,22568,6476,N,N,N,N,N,N,35145,29325,N,N,-,**,N,N,N,N,N,N,N,N,N,N,18919,5258,84.4,1.4,41857,2852,2.7,0.9,31238,3773,30.2,1.9,48831,5516,45.0,1.9,41674,5531,22.0,1.7,25806,6021,44701,2057,50317,4719,41.5,3.5,51075,5057,58.5,3.5,49208,7557,73.8,3.4,60722,3979,20.3,3.2,28926,6818,5.9,2.1,23371,15504,20616,1884,20613,1884,58.2,5.0,19785,1845,52.1,4.6,19386,3199,6.1,3.4,20878,30244,41.8,5.0,23670,5875,37.5,4.8,21422,10203,4.3,2.5,26675,14258,33.7,(X),(X),(X),34.1,(X),(X),(X),32.2,(X),(X),(X)
0500000US37063,37063,"Durham County, North Carolina",107352,2738,47401,2321,51.1,1.4,62335,4687,37.8,1.5,35067,4501,N,N,N,N,3.6,0.6,60415,17897,N,N,-,**,5.0,0.8,40352,6035,N,N,25522,12077,8.6,0.9,43188,3866,48.0,1.4,63924,4738,7.7,1.0,19846,4922,41.7,1.3,50915,2088,35.4,1.3,58381,9140,15.2,1.1,39586,6817,63490,2848,60991,5116,46.6,3.0,47779,7590,53.4,3.0,68826,6105,65.1,3.6,80537,4734,27.0,3.2,30571,5394,7.9,1.7,33441,5183,43862,2792,36075,5502,61.1,3.0,33063,5099,48.4,3.1,32170,5260,12.7,2.5,35823,15035,38.9,3.0,40686,7137,27.5,3.3,34360,10150,11.4,2.7,44202,3402,23.7,(X),(X),(X),22.0,(X),(X),(X),24.5,(X),(X),(X)
0500000US37067,37067,"Forsyth County, North Carolina",137777,2884,43537,2561,68.6,1.4,48820,3044,25.6,1.2,34862,3843,N,N,N,N,N,N,70645,16543,N,N,-,**,N,N,28398,10435,N,N,34743,13686,6.6,0.7,29936,3965,65.1,1.2,50503,2601,3.7,0.9,15153,6439,35.1,1.0,46442,3293,40.1,1.2,56109,4298,21.1,0.9,31574,1772,87693,3015,57964,2675,45.6,2.6,53259,5935,54.4,2.6,62740,3023,70.1,3.0,71543,2733,21.6,2.3,28732,4044,8.2,1.9,29782,7640,50084,2720,26868,1432,60.2,3.0,25971,1594,53.8,3.4,25862,1526,6.4,1.8,29246,13016,39.8,3.0,29472,3849,33.4,2.9,27149,3827,6.4,1.8,67944,10484,24.2,(X),(X),(X),24.8,(X),(X),(X),22.5,(X),(X),(X)
0500000US37071,37071,"Gaston County, North Carolina",78613,2090,39054,2499,80.6,1.3,42727,3884,14.7,1.0,28548,4601,N,N,41757,15662,N,N,N,N,N,N,-,**,N,N,28023,15490,N,N,N,N,N,N,28291,9005,78.2,1.2,43221,3837,3.0,1.2,22535,17052,35.4,1.9,45624,2339,40.9,1.9,44828,4685,20.6,1.5,26324,2628,53749,2174,47828,3011,42.8,3.3,47353,5003,57.2,3.3,48189,3868,69.5,3.3,57855,3488,22.0,2.7,25873,5483,8.5,2.2,30738,8284,24864,2183,23502,3859,53.1,4.6,21631,1874,50.7,4.6,21384,1917,2.4,1.3,27024,28189,46.9,4.6,28673,5305,36.6,4.3,26265,9479,10.3,3.4,34237,19160,32.8,(X),(X),(X),33.9,(X),(X),(X),30.0,(X),(X),(X)
0500000US37081,37081,"Guilford County, North Carolina",191693,3775,42090,1146,61.5,1.2,50287,1715,31.9,1.1,29688,1749,N,N,N,N,2.6,0.5,48857,11452,N,N,-,**,N,N,37458,27036,N,N,35531,16343,5.2,0.4,32170,8875,58.7,1.0,51257,1627,5.2,1.0,20159,3340,35.6,1.2,42716,2401,39.0,0.9,50811,2778,20.2,0.8,36817,3937,119317,3739,54255,2773,46.4,1.9,46524,3869,53.6,1.9,58940,3258,68.2,2.2,66964,2770,24.8,1.9,24888,2670,7.0,1.2,37694,8377,72376,3336,28511,1759,58.7,2.8,25842,1839,50.5,2.9,25053,1883,8.2,1.7,35999,10682,41.3,2.8,31903,2466,32.3,2.7,30465,2209,9.0,2.0,46206,6406,26.7,(X),(X),(X),27.9,(X),(X),(X),24.0,(X),(X),(X)
0500000US37085,37085,"Harnett County, North Carolina",38631,1785,39584,3886,70.7,2.3,48000,4038,22.8,1.6,23416,5576,N,N,19968,19593,N,N,41154,37808,N,N,-,**,N,N,32554,4154,N,N,N,N,N,N,32296,3597,68.4,1.9,49199,4453,3.4,1.4,22738,8311,41.3,2.3,42133,8137,36.4,2.4,47426,6040,18.9,1.1,27630,4439,28607,1806,47945,5781,47.1,3.3,41778,9274,52.9,3.3,53061,5521,73.8,3.9,61208,6023,18.3,3.3,25082,3426,7.9,2.6,29750,7332,10024,1609,23002,4479,54.8,5.5,20455,4407,50.8,5.7,18834,4994,4.0,2.4,45714,1993,45.2,5.5,30145,9724,40.5,6.1,26518,11260,4.7,2.8,34410,50158,36.5,(X),(X),(X),38.2,(X),(X),(X),30.5,(X),(X),(X)
0500000US37089,37089,"Henderson County, North Carolina",45392,1944,43105,3319,92.4,2.1,44840,4183,N,N,N,N,N,N,-,**,N,N,188400,132260,N,N,-,**,N,N,20525,14099,N,N,35026,5625,N,N,21360,4807,89.4,1.8,45502,4690,2.7,1.5,22404,7219,27.0,2.9,44076,6532,39.2,2.4,52310,11322,31.1,2.0,39431,4730,29483,2151,55567,4756,N,N,52195,6099,N,N,57267,6253,N,N,60131,5154,N,N,31199,12833,N,N,50368,32978,15909,1891,25829,4393,55.3,6.5,25381,5372,49.0,6.7,21873,5089,6.3,3.3,67950,5431,44.7,6.5,26218,8763,38.7,7.1,24599,9311,6.0,3.3,56344,48458,26.3,(X),(X),(X),29.8,(X),(X),(X),19.8,(X),(X),(X)
0500000US37097,37097,"Iredell County, North Carolina",58813,1844,45714,3026,84.1,1.2,49526,4726,11.3,1.5,32479,9581,N,N,-,**,N,N,75017,60617,N,N,-,**,N,N,36963,5014,N,N,46875,34100,N,N,35513,5699,81.6,1.3,50207,4783,2.4,1.2,33679,46808,35.7,2.4,59048,7019,39.1,2.2,49195,4874,22.8,1.3,27927,3498,41794,2014,54438,5460,N,N,62428,5859,N,N,50539,4896,N,N,62834,4923,N,N,29885,3221,N,N,37030,13400,17019,1873,24168,3868,51.8,6.5,23252,4617,46.0,6.1,20454,5414,5.7,3.5,45735,18882,48.2,6.5,25951,16104,40.9,5.9,22741,6726,7.4,4.6,47368,31542,30.5,(X),(X),(X),28.1,(X),(X),(X),36.5,(X),(X),(X)
