GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,Estimate; Income in the past 12 months below poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 15 years,Estimate; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,Estimate; Income in the past 12 months below poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 15 years,Estimate; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Female: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,Estimate; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,Estimate; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 75 years and over
0100000US,,United States,317741588,22450,42583651,241032,19004547,118098,2021014,30371,364686,11062,2362098,34494,1058604,19094,349212,11191,677633,14062,2630643,29902,2218695,30129,1821442,22777,1812605,24244,2019265,21406,1011892,17076,656758,12918,23579104,139006,1911955,30009,366144,11583,2273102,31731,977051,19059,340543,11877,651160,12609,3194320,34189,3503224,37615,2735046,27093,2301447,27431,2411990,21268,1494180,20016,1418942,16993,275157937,244815,136664063,124820,7943777,32278,1540200,23133,10077714,39720,5296224,32152,1737982,23948,3604545,24072,11490206,33404,19799990,38614,18109372,27521,18693461,35356,17987318,25342,12693910,20637,7689364,19377,138493874,143379,7581098,28571,1480439,21855,9704151,38351,4993569,35587,1682639,19846,3457385,23722,10284611,33121,18607846,44767,17844872,31383,19080075,38560,19241756,25580,14192025,24091,10343408,20436
0400000US37,37,North Carolina,10009042,3839,1471339,35219,643900,18115,67612,4869,12906,2170,90869,6133,36322,3809,12124,2193,23054,2757,81437,5452,69314,5041,60446,3996,63138,4622,75407,4427,32130,2325,19141,2114,827439,20741,73254,4178,12603,1829,81641,6029,32553,2734,12773,1897,25783,3192,108893,6126,121040,6905,97018,6165,83089,4867,85408,5483,51994,3391,41390,3093,8537703,35686,4199092,20019,234762,5523,47629,4037,304385,8225,164596,6551,52818,4046,116261,5097,356873,6844,574639,6800,557044,6171,603570,6237,538304,5236,416810,3874,231401,2632,4338611,20578,217894,5136,48055,3750,289524,8533,154926,6604,50296,3543,109150,4006,304248,7130,562427,7953,572449,6785,627976,6180,605271,5344,478024,4874,318371,3337
0500000US37001,37001,"Alamance County, North Carolina",158086,706,22810,3817,10035,1975,1098,477,240,264,1615,749,465,264,468,456,368,356,1426,786,564,365,586,398,730,448,1278,516,788,433,409,270,12775,2363,803,482,9,16,1311,646,962,504,16,21,431,370,1795,740,1921,700,1302,626,1691,750,1178,588,850,394,506,258,135276,3898,65591,2096,3827,613,597,345,5312,945,2121,736,641,438,1577,452,5353,853,8813,736,8543,661,10171,625,8632,555,6100,403,3904,375,69685,2514,3827,554,1050,473,4193,820,2446,737,1212,586,1417,447,4598,799,8363,775,8501,777,10162,852,10197,770,7423,591,6296,326
0500000US37019,37019,"Brunswick County, North Carolina",129885,948,14906,2690,6188,1530,757,409,62,100,522,516,248,250,0,207,421,564,446,300,841,461,823,480,248,291,1217,507,420,266,183,159,8718,1769,917,462,0,207,288,289,188,236,0,207,218,363,1135,616,1576,658,563,428,1276,621,1527,841,644,444,386,259,114979,2666,56896,1814,2141,417,753,487,3519,1086,1629,796,360,230,966,329,3984,669,4930,920,4632,755,6698,721,8309,545,13568,522,5407,280,58083,1752,1212,449,346,428,3278,1005,1321,584,235,176,1451,333,1524,522,4859,864,5184,478,7792,821,11630,853,13446,496,5805,582
0500000US37021,37021,"Buncombe County, North Carolina",251125,1521,26280,4399,13764,3129,1021,585,0,207,2180,1199,883,581,46,74,481,443,442,247,1817,645,2700,1176,939,514,2462,747,532,313,261,170,12516,2173,714,498,240,228,834,476,421,320,0,207,377,326,1294,483,1003,462,1898,917,1195,543,1637,554,1698,675,1205,506,224845,5080,107529,3347,4867,619,803,413,7030,1219,3265,987,1209,781,2843,719,8185,669,13775,930,15442,1315,15653,1146,14032,1013,12986,559,7439,615,117316,2771,5318,616,1233,717,5384,1005,3990,1025,1246,561,2889,729,7913,875,16224,1168,15169,991,16150,1071,17671,689,14542,840,9587,629
0500000US37023,37023,"Burke County, North Carolina",86303,1315,15488,3556,7588,1910,586,419,0,207,730,577,114,198,134,208,287,205,1079,721,1185,494,593,349,1573,577,1059,457,212,201,36,44,7900,2129,547,426,270,303,303,340,231,201,45,82,61,85,745,489,1269,651,631,563,1683,776,1227,582,397,289,491,302,70815,3524,35184,2126,1205,301,227,227,2389,696,1302,547,409,330,1739,685,2809,966,3734,1000,4063,617,5168,920,5130,485,4090,223,2919,303,35631,2603,950,407,150,138,3285,986,979,484,76,125,453,373,2333,786,3023,704,5333,920,4983,1013,5429,630,4841,155,3796,421
0500000US37025,37025,"Cabarrus County, North Carolina",205183,767,26220,5548,11705,3117,1116,787,67,122,2150,1370,291,312,398,566,492,508,1208,692,1783,869,693,613,1257,719,1599,902,369,234,282,185,14515,3158,1033,605,19,33,1583,1129,828,561,266,379,340,383,2228,1127,1909,917,1501,564,1494,764,1662,1088,1067,632,585,373,178963,5535,88785,3258,5989,870,1324,660,6840,1217,5137,1181,1219,584,3225,1085,7171,819,10938,1440,12380,842,14256,1090,9625,981,7244,204,3437,268,90178,3430,5110,868,475,368,6949,1139,4904,1386,1258,393,2439,1047,5243,899,10948,985,14659,946,14439,1152,10739,1193,8071,780,4944,508
0500000US37027,37027,"Caldwell County, North Carolina",80208,797,13489,2326,6276,1418,464,454,49,85,827,490,250,295,177,224,86,104,750,617,494,408,324,294,1110,670,969,473,390,347,386,317,7213,1575,799,642,0,207,125,148,95,154,332,353,273,297,1248,644,803,413,288,253,1294,606,871,533,631,448,454,221,66719,2411,32727,1692,1548,658,67,84,1714,592,1335,456,611,423,685,382,2428,688,3908,457,4193,295,5356,587,4700,477,4065,377,2117,341,33992,1491,1130,371,890,659,2122,668,984,638,349,264,736,427,2184,654,3450,431,4194,266,5216,630,5271,522,4471,495,2995,308
0500000US37031,37031,"Carteret County, North Carolina",67285,727,9436,2199,4383,1588,325,248,169,205,466,338,302,251,112,176,326,301,243,262,503,361,650,466,501,319,390,255,334,236,62,98,5053,1008,287,202,34,66,456,313,281,274,37,60,0,207,217,193,1258,535,474,330,344,272,1215,419,283,234,167,148,57849,2443,29382,1439,1055,178,67,80,2034,440,1117,468,375,224,969,375,1822,350,2645,401,3179,482,4008,424,4668,285,4663,308,2780,197,28467,1624,832,240,206,191,1123,534,799,474,127,150,571,360,1746,239,2208,475,3296,296,4479,358,5110,397,4810,256,3160,224
0500000US37035,37035,"Catawba County, North Carolina",155381,785,18811,3422,8060,1855,705,427,0,207,1285,792,167,176,293,299,325,418,1238,768,1044,626,384,238,990,590,726,415,565,348,338,288,10751,2101,1087,594,236,246,1215,559,363,303,252,326,442,321,638,443,997,527,1187,647,1643,633,425,351,1659,644,607,273,136570,3526,67303,1988,3205,509,874,408,5275,1126,2455,713,924,623,1863,508,5538,736,8294,998,8683,819,9857,718,9152,543,6980,443,4203,424,69267,2511,3612,700,782,522,4810,925,2082,657,457,258,2243,702,5603,954,8070,1163,8391,797,9996,1180,10333,402,7829,725,5059,476
0500000US37037,37037,"Chatham County, North Carolina",70856,320,8044,2474,3614,1396,399,373,0,207,671,443,410,276,0,207,274,418,0,207,551,413,485,474,238,298,458,358,128,169,0,207,4430,1335,698,477,0,207,434,337,125,198,0,207,0,207,142,179,755,441,915,730,300,233,482,420,388,270,191,165,62812,2491,30898,1337,1684,452,45,80,2172,743,1373,488,145,165,917,449,1460,207,3158,699,3771,549,4525,615,4149,313,4639,447,2860,360,31914,1605,1562,579,281,235,2306,603,795,461,34,58,391,336,1745,404,2876,443,3714,878,4204,465,5224,532,5036,435,3746,287
0500000US37045,37045,"Cleveland County, North Carolina",95908,414,18147,3202,7371,1668,702,663,338,319,951,609,315,291,267,288,399,310,489,382,581,329,981,492,507,307,959,537,593,513,289,250,10776,2097,591,334,0,207,886,470,621,445,36,63,289,277,1158,583,1552,664,1124,578,1411,612,1510,627,835,550,763,275,77761,3237,38651,1577,1631,495,326,249,2693,851,1807,653,498,330,830,319,3914,612,4144,643,3949,631,6536,568,5602,577,4454,531,2267,195,39110,2218,2211,485,375,238,1906,661,2132,802,456,345,1273,447,2621,598,4446,764,3942,613,5925,663,5448,634,4992,561,3383,282
0500000US37049,37049,"Craven County, North Carolina",97299,1519,17227,3501,7448,1571,1062,711,453,324,1151,854,431,277,220,280,157,156,114,129,760,573,631,468,1129,681,494,304,211,199,635,456,9779,2253,546,353,142,141,1354,601,1125,645,120,191,865,437,926,622,1556,785,965,461,758,408,732,380,458,414,232,237,80072,3988,39524,1962,2015,169,832,473,2168,581,1692,751,268,327,556,281,4858,983,5242,627,4928,859,4328,728,5126,337,4512,379,2999,279,40548,2865,2453,639,343,359,2538,744,954,606,514,445,456,249,3633,738,4802,962,4655,795,4601,626,5791,448,5695,476,4113,460
0500000US37051,37051,"Cumberland County, North Carolina",317441,2495,58935,5825,26093,3202,3574,1095,718,408,3951,1015,565,304,507,336,712,388,3613,902,4817,1199,1789,583,2208,651,2599,637,688,327,352,306,32842,3397,3442,755,254,228,3378,930,1744,620,453,291,895,404,3404,928,5822,1226,4225,840,3131,774,3339,558,1520,501,1235,520,258506,6420,128817,3858,9270,1167,2457,711,11218,1186,3592,865,1571,550,3948,716,15364,1591,22632,1330,16022,935,14430,722,13242,684,9650,459,5421,434,129689,3379,8644,784,784,378,9931,1134,5075,902,2331,624,2174,526,12233,938,20878,1479,16139,948,16572,927,15586,709,11386,564,7956,594
